Provider_ID,Name,Type,City,Contact
1,Gonzales-Cochran,Supermarket,New Jessica,-1299
2,"Nielsen, Johnson and Fuller",Grocery Store,East Sheena,+1-925-283-8901x6297
3,Miller-Black,Supermarket,Lake Jesusview,001-517-295-2206
4,"Clark, Prince and Williams",Grocery Store,Mendezmouth,556.944.8935x401
5,Coleman-Farley,Grocery Store,Valentineside,193.714.6577
6,Lawson-Walters,Grocery Store,Shannonside,144-860-6074x60544
7,Ortiz-Lee,Restaurant,Lake Christopherburgh,(563)889-7190
8,Curtis-Lewis,Supermarket,Washingtonville,+1-521-027-8120x3301
9,Nguyen Inc,Supermarket,Tinamouth,898-609-2609x844
10,"Hall, Nguyen and Martinez",Catering Service,West Cherylfort,(740)949-2480x40566
11,"Flores, Jackson and Ford",Supermarket,South Robert,276.527.4329
12,Miller Ltd,Supermarket,East Williamburgh,001-909-021-4559
13,"Parker, Flores and Jennings",Restaurant,Nicolefort,(516)626-8840
14,Nguyen-Tran,Catering Service,Garciamouth,+1-899-619-4557x62932
15,Valdez-Diaz,Grocery Store,West Theresaberg,(046)544-9977
16,Brown and Sons,Catering Service,West Vanessafort,018-471-0550x16593
17,Miller Ltd,Catering Service,West Dawn,(876)537-9861x93433
18,Edwards-Turner,Restaurant,Cassandraville,361.706.6889x42826
19,Davis Ltd,Supermarket,South Melanieshire,117-624-9394x3533
20,Drake-Martinez,Catering Service,East Samantha,001-454-212-3510x6135
21,Cross Group,Grocery Store,Port Corystad,(170)989-9040x1296
22,Miller-Carter,Catering Service,Port Lisamouth,-5657
23,Johnson Ltd,Supermarket,Bradleyborough,916.509.1396x4499
24,"Black, Collins and Richard",Supermarket,Hestermouth,266.040.9664x08185
25,Gutierrez-Palmer,Grocery Store,Anitashire,(155)292-7832x2085
26,Hansen Inc,Grocery Store,West Adammouth,464-311-2342
27,Lester Inc,Supermarket,New Natasha,001-037-031-5899x7076
28,Wright Ltd,Restaurant,Jessestad,850-175-4730
29,Andrews-Wiley,Grocery Store,Patrickmouth,+1-657-214-6013x08444
